Title,Body,Post date,Updated date
"הוועידה השנתית של MPR הוועדה המקצועית מטעם איקו""ם לשיווק ויחסי ציבור תתקיים בפלרמו, ספטמבר 2012","This year, the Marketing and Public Relations International Committee of ICOM is meeting in sunny Palermo from the 9th-12th September 2012.
 
Register now for the early bird rate on
http://network.icom.museum/fileadmin/user_upload/minisites/mpr/PD
F/SCHEDA%20ISCRIZIONE.pdf
 
The theme of this year’s conference is 'Creative Communications'
and MPR welcomes two outstanding international speakers.
 
Hannah Paramore’s keynote address will focus on ‘Creating marketing campaigns that work’
 
Hannah is an entrepreneur and the President of Paramore|the digital agency based in Nashville, Tennessee. She works with businesses in the travel, non-profit, arts and healthcare industries including the Frist Center for the Visual Arts, the Peabody Essex Museum, Vanderbilt University Medical Center and state tourism departments in Tennessee, Ohio, and West Virginia.
Hannah has been a dynamic keynote speaker for the Public Relations and Marketing Professional Standing Committee at the American Association of Museums conference. Through plain talk about the strategy and effectiveness of digital media and having a social presence, Hannah helps organizations focus on results.
 
Sara Selwood’s keynote will explore ‘How critics measure success’
 
Sara Selwood is an independent cultural analyst and Honorary Professor at both City University and at the Institute of Archaeology, UCL in London, UK. She has a background in fine art, aesthetics, history and theory of art, and previously worked as an art historian and as a curator of contemporary visual art. A consistent theme of her work is the publics’ experiences of cultural provision – particularly in relation to museums and galleries. Sara’s interest in audiences’ expectations and engagement is fundamental to the regular reviews that she writes for Museums Journal. These draw on her previous experience of art criticism for Arts Review, Art Monthly and the Times Literary Supplement.
 
The conference is truly international with a range of presenters from all corners of the globe. Speakers from Brazil, Turkey, the Netherlands, Sweden, the US, Norway, Russia, Poland, Taiwan, Finland, Macedonia and Germany will be presenting papers on three topics.
 
1. Indicators of success: measures for marketing campaigns 2. Using the web as an effective marketing tool 3. Working with the media on marketing campaigns
 
Workshops facilitated by each of the keynote speakers, visits to local museums and cultural sites, a great programme of events including a tour to Agrigento Valle dei Templi Archaeological Park complete the conference package.
 
Full programme on the MPR website. Book now!
 
See you in Palermo.
Dr. Carol Scott
Website: www.carolscottassociates.com
Email: carolannscott@fastmail.co.uk
Landline: +44 (0) 208 692 1927
Mobile: +44 (0) 787 041 7079",30/05/2012 - 15:56,30/05/2012 - 15:56
"איקו""ם - ידיעון 25, 2012","Please find below the ICOM e-newsletter #25 May 2012:http://archives.icom.museum/e-newsletter/25_may2012_en.html In this issue:   Headline International Museum Day 2012: A renewed success   Highlight International Museum Meeting from 4 to 6 June at UNESCO House, Paris   Decoding ICOM signs Memorandum of Understanding with AFRICOM   Museum News Zagreb’s Tactile Gallery   Participate in CIDOC Annual Conference    Access the e-newsletter archives at: http://archives.icom.museum/e-newsletter/e-newsletter.html     To unsubscribe, please click here http://archives.icom.museum/e-newsletter/unsubscribe.html    ICOM. UNESCO House. 1, rue Miollis. 75732 Paris Cedex 15. France. Tel. +33 (0)1 47 34 05 00. Fax +33 (0)1 43 06 78 62. E-mail: secretariat@icom.museum © ICOM",31/05/2012 - 11:37,31/05/2012 - 11:37
"הכינוס השנתי של ICR הוועדה המקצועית מטעם איקו""ם למוזאונים אזוריים יתקיים בסרביה, ספטמבר 2012","Invitation and Call for papers Home and Hearth:  Regional Museums and Gastronomic Heritage. 
 
Join colleagues from around the world to discuss documenting, preserving and interpreting tangible and intangible aspects of gastronomic heritage, and contribute your own ""food for thought"".
 
The International Committee for Regional Museums (ICR), ICOM South East Europe Alliance (ICOM SEE), ICOM Serbia and the Regional Museum of Prijepolje invite you to participate in the annual conference to be held 22-29 September 2012 in Belgrade and Prijepolje, Serbia.  The organizers seek presentations and case studies relevant to the theme HOME AND HEARTH:  REGIONAL MUSEUMS AND GASTRONOMIC HERITAGE.  
 
Hearth and home, fireplace and family, warmth and comfort - these are the vital ingredients of social life. Food and the spaces in which it is prepared and served play important parts in family and community life.  The kitchen has changed over time - in some urban contexts today it now resembles a laboratory.  How has technology changed how and where food is prepared and served? What are the unwritten rules regarding food selection, preparation, presentation and consumption?  How have urbanization, immigration and other changes to community and family life affected diet, gastronomy and the material heritage?
 
How do the households of cultural, religious and ethnic groups differ regarding food selection, preparation, presentation and consumption?  What are the unspoken rules, practices, manners?  How are these rules reflected in the material culture and vice versa?  Until recently the types of available foods depended upon geography, but what make one type of animal or grain more desirable than another?  What foods are reserved for festivals and other special occasions?  What special utensils and containers are used to make these foods?  What are museums doing to document and collect these changing practices and technologies? How are the traditions and stories associated with food interpreted for visitors?
 
ICR seeks examples of good practices, successful exhibitions, cooperative activities, community partnerships, events and educational programs which address these questions.
 
Proposals consisting of a title and abstract (summary of up to 200 words) for presentations of 15 minutes and case studies of 10 minutes should be sent by 20 July 2012 to Sue Hanna at sushanna1@aol.com and Rune Holbek at ruh@vaf.no . 
 
Decisions about proposals will be communicated by 27 July 2012. Authors of successful proposals will be asked to provide a written version of their presentation by 5 September 2012 for consideration for publication in the Conference Proceedings.  Papers should be submitted as a Microsoft word document with photos, tables and charts as separate attachments.
 
For additional information go to www.icr-icom.org or contact Sue Hanna, ICR Secretary at sushanna1@aol.com or Rune Holbek, ICR Treasurer at ruh@vaf.no
 
Welcome to Serbia and ICR's annual conference!",24/06/2012 - 10:04,24/06/2012 - 10:04
"הכינוס השנתי של ICTOP הוועדה המקצועית מטעם איקו""ם להכשרת עובדי מוזאונים יתקיים באמסטרדם, ספטמבר 2012","Bridges and Boundaries:Reframing Professional Education for Museums + Heritage?
ICTOP Call for papers, Amsterdam Sept. 13-15, 2012
 
Speakers: Dr. Mary Bouquet, University Lecturer and Fellow at University College Utrecht[i].
.Future Directions for ICOM
and ICTOP A panel of museums studies
and heritage studies world experts
.Paula Assuncao dos Santoson sociomuseology, museums and heritage  and pedagogy Board member of ICTOP and MINOMtbc 
Others to be confirmed.
 
ICTOP, the ICOM International Committee for the Training of Personnel, invites papers for the ICTOP annual conference to be held in Amsterdam Sept. 13-15 2012. Our meeting this year will be hosted by the Reinwardt Academy for Cultural Heritage, Amsterdam, School of the Arts. This international meeting will focus on the theme of “Bridges and Boundaries: Reframing Professional Education for Museums + Heritage?” We invite proposals for paper presentations of 15 minutes, multi-paper panels, virtual papers by video or other modes of communication, which analyse current and emerging issues in the field of museum professional development.
 
Presentations should examine how professional development education is or is not shifting from a variety of global perspectives and the implications for the conceptualization of our museums/heritage sector and professional preparation.
As an interdisciplinary field, museology/museum studies crosses traditional boundaries between academic disciplines or schools of thought, especially as new needs, emphases and professions emerge. This leaves the boundaries of our profession, its study and delivery unclear at best. But then where and when do we identify new fields for naming our offerings? In some parts of the world, for example, museum studies/museology programs have been extended to include heritage studies in their title or content. The broader term ‘heritage’ may seem like a solution to our vague definitions of the ‘museum’ but does the term ─ and its field ‘heritage studies’ ─ bring more problems than it solves?
Presenters may address how prevalent (or not) this trend is across continents or speak to specific case studies as we reflect on the general implications for the field, other programs and the development of curriculum/a?
§       Is there a genuine shift in concepts and the profession or a pragmatic move that responds to governmental policy and job opportunities? §       What are the challenges for museology programmes, or other developers, in adopting wider definitions such as that of heritage?
§       Are there other tendencies in our pedagogy representing either the voices of traditional or new disciplines ─ such as cultural studies, management, curatorial studies, gallery studies, informatics ─ or emerging topics or issues ─ such as development, sustainability, inclusion, career planning and employability ─ that are compelling changes?
§       Where is the profession in this discussion?
§       What guidelines or competencies might be needed in this complex situation?
 
Program
We will have a mix of
keynotes and parallel paper sessions as well as breaks and lunch sessions over two days Sept. 13-14, and then on the 15th a bus tour outside of Amsterdam, likely to Haarlem.
 
__________________________________________________________
Location
Our location for the
conference sessions will be in the main at the Reinwardt Academy.
A reception is being organized for the Thursday evening tbc.
A map to the Reinwardt Academy where our meetings will be held can be found here:
http://www.ahk.nl/en/reinwardt/search/contact/
 
Dapperstraat 315
1093 BS Amsterdam
The Netherlands
Tel. +31 (0)20 527 7100
Fax +31 (0)20 527 7101
Email: rwa-info@ahk.nl",25/06/2012 - 12:38,15/07/2012 - 09:39
"איקו""ם - ידיעון 26, 2012","Please find below the ICOM e-newsletter #26 June/July 2012:
http://archives.icom.museum/e-newsletter/26_june2012_en.html
In this issue:  Headline The ICOM International Museum Meetings in Paris: a time for discussion and reflection
Highlight ICOM President invited to ICOM France 2012 General Assembly ICOM Director General participates in ICOMOS conference in Athens
Decoding In Malta, young inmates experience museums on International Museum Day
Museum News Botswana’s “Zebra on wheels” travelling museum
Participate in FIHRM International Conference ICOM-ASPAC 2012 Assembly website open for registration Access the e-newsletter archives at: http://archives.icom.museum/e-newsletter/e-newsletter.html
To unsubscribe, please click here http://archives.icom.museum/e-newsletter/unsubscribe.html
ICOM. UNESCO House. 1, rue Miollis. 75732 Paris Cedex 15. France. Tel. +33 (0)1 47 34 05 00. Fax +33 (0)1 43 06 78 62. E-mail: secretariat@icom.museum © ICOM",08/07/2012 - 09:11,08/07/2012 - 09:11
"הכינוס השנתי של CAMOC הוועדה המקצועית מטעם איקו""ם למוזאוני ערים: התנגשויות│חיבורים, יתקיים בוונקובר, אוקטובר 2012","*CAMOC / **Museum of Vancouver*
*Vancouver, British Columbia, Canada*
*October 24-27, 2012*
* *
*Online Registration Now Open!*
*Don’t miss three exciting days:*
   - *Keynote addresses by internationally*-respected urban planner Larry
   Beasley and former Director of the Museum of London, now CEO of the
   Royal British Columbia Museum, Jack Lohman
   - Speakers from more than 15 countries about how city museums are
   reconsidering their role in civic life due to the enormous pressure cities
   face in terms of aging infrastructure, the need for urban regeneration,
   economic and environmental crises, and social issues such as demographic
   shifts, global diasporas, increasing immigrant and urban Aboriginal
   populations; as well as city museums under development, urban/edge city
   museums, and city museums in large and small cities
   - Behind-the-scenes tours of the Museum of Vancouver, opening reception
   at the Museum of Anthropology/UBC, National Film Board premiere at VIFF,
   Ignite! Sessions, poster competition, meeting at the Vancouver Art Gallery,
   an off-site workshop in North Vancouver, optional tours of Richmond or
   Gastown
 
*Register before September 1 to save! For complete program details and to register online go to http://www.museumofvancouver.ca/*
 
CAMOC is the Collections and Activities of Museums of Cities committee of ICOM, *a forum for people who work in or are interested in museums about cities, urban planners, historians, economists, architects or geographers, all of whom together can share knowledge and experience, exchange ideas and explore partnerships across international boundaries*.
http://camoc.icom.museum/index2.php
 
The Museum of Vancouver is Canada’s largest urban history museum focusing on the life of a city.
http://www.museumofvancouver.ca/
 
*For additional information contact *Catherine C. Cole, Principal Consultant, Catherine C. Cole & Associates, Conference Co-Chair/Member CAMOC Board: CatherineC.Cole@telus.net; 1-780-424-2229
 
*Please share with your members and colleagues*
 
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
 
Change ICOM-L subscription options, unsubscribe, and search the archives at:  http://home.ease.lsoft.com/archives/icom-l.html",11/07/2012 - 09:15,15/07/2012 - 09:38
"כינוס הוועדה המקצועית מטעם איקו""ם למוזאוני מדע וטכנולוגיה CIMUSET יתקיים בפינלנד, אוגוסט 2012","The final programme for the ICOM/CIMUSET 2012 “Brighter Perspectives for Science and Technology Museums” is now ready. The conference will take place in Finland (Tampere and Helsinki) 28-31 August 2012. Registration is now open. The early bird fee (280 euros) is valid until 31 of July. Please join us in a unique confence to discuss about the current state and future of the science and technology museums.
 
Keynote speakers of the conference are:
Prof. Robert Bud (UK): “Resolving the problem of the abstract: turning concepts into stories”, Deputy Director Yin Hao (China):“The Development of China’s Science and Technology Museums and Science Centers”, Dr. Katariina Mauranen (UK/Finland): ""Look beyond the machine. Displaying intangible ideas through very tangible technology artefacts"" and Professor Per-Edvin Persson (Finland): ""Rethinking the Science Centre Model""
 
In the programme there wil be six sessions with some 30 presentations on new exhibition technologies, co-operation with different actors and major renovation projects in museums of technology.
 
For details, please take a look at our website: www.tampere.fi/cimuset2012
 
The social programme includes
Tuesday, 28 Aug: Welcome Reception at Werstas Museum (included in the fee) Wednesday, 29 Aug: Tampere City Reception at Vapriikki Museum Centre (included in the fee) Thursday, 30 Aug: Cruise on the lake Näsijärvi (included in the fee) Dinner at Amuri Workers' Housing Museum (cost 40 euro) If you have questions concerning registration, accommodation, travel etc, please contact: Cimuset2012.conference@tavicon.fi
 
Welcome to Finland!
 
Best regards,
Kimmo Antila
Chair of the Organising Committee
Museum Centre Vapriikki
 
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
 
Change ICOM-L subscription options, unsubscribe, and search the archives at:  http://home.ease.lsoft.com/archives/icom-l.html",15/07/2012 - 09:35,15/07/2012 - 09:37
"הכינוס הבין-לאומי השני בנושא ""מוזאונים בחינוך"" יתקיים במוזאון טיסן בורנמיסה במדריד, נובמבר 2012","מידע בנושא הכינוס בקישור שלהלן:
http://www.educathyssen.org/the_nd_international_conference",16/07/2012 - 12:26,16/07/2012 - 12:28
"סדנת גישור בנושא אמנות ומורשת תרבותית תתקיים בקנדה, אוקטובר 2012","סדנת גישור מטעם איקו""ם ו-WIPO הארגון העולמי לקניין רוחני תתקיים באוטווה-קנדה באוקטובר 2012.
Following the Mediation Workshop in Art and Cultural Heritage which took place last May, I have the pleasure to invite you to the third Mediation Workshop on October 11 and 12, 2012. You will find details in the following link:
 
http://icom.museum/what-we-do/programmes/art-and-cultural-heritage-mediation/workshops-for-mediators-in-art-and-cultural-heritage.html
 
I invite you to share this information with your contacts.
 
We hope this new programme will address long-standing needs for assistance in resolving peacefully Art and Cultural Heritage disputes.
 
Yours sincerely,
 
     Julien ANFRUNS
ICOM Director General",17/07/2012 - 09:50,17/07/2012 - 09:50
"הכינוס השנתי של ICEE הוועדה המקצועית מטעם איקו""ם לחילופי תערוכות יתקיים בטורונטו, אוקטובר 2012","Save the Dates!
Young professionnals, their future in an ever changing museum environment ICEE Annual Meeting October 24-26, 2012 Royal Ontario Museum Toronto, CANADA
 
On behalf of the ICOM/ICEE board, I invite you to join us for our 2012 ICEE - International Committee for Exhibitions and Exchange - Annual Meeting, hosted by the Royal Ontario Museum in Toronto, Canada, from October 24th to October 26th 2012.
 
The ICEE board, in close collaboration with colleagues in Toronto, is planning three days of keynote addresses, panel sessions, study tours and many networking opportunities including our well known Marketplace of ideas and exhibitions around the general theme of  ""Young professionnals, their future in an ever changing museum environment.""
 
During this inspiring meeting, we will discuss new challenges in exhibition development in a global context with a focus on young professionnals and their future.  We will learn about Toronto's museums during our exciting venues. Again this year, we will hold our traditional ""Marketplace of exhibitions and ideas"" as one highlight of our meeting and our touring day in museums and exhibitions.
 
A program of Study Tours will provide valuable ""behind the scenes"" access to exhibitions currently on view in Toronto. Program updates will be posted on the ICEE new website (WWW.ICEE.ICOM.MUSEUM<http://WWW.ICEE.ICOM.MUSEUM>  )
 
As the ICEE board works toward the next ICOM Triennial Conference in Rio de Janeiro in August 2013, we encourage each of you to forward this announcement to all colleagues who might be interested in joining us in Toronto this year.
 
See you all in Toronto, the Royal Ontario Museum, 24th - 26th October 2012 with a reception at the ROM on the evening of the 23rd!
 
Best regards,
 
Dr. Anne-Catherine Hauglustaine-Robert
Chair of ICOM/ICEE
 
Head of Coordination Jardin des Sciences University of Strasbourg, France
 
And the board members : Nicolas Gauvin (Canada), Amy Bornkamp (USA), Carina Jaatinen (Finland, Chair of ICOM-Finland), Marlies Kleiterp (The Netherlands), Christoph Lind (Germany), Xiuqin Zhou (USA), Alex Susanna (Italy), Lydia Kitungulu (Kenya) and Gevorg Orbelyan (Armenia).",18/07/2012 - 14:34,22/07/2012 - 09:03
"הכינוס השנתי של ICFA הוועדה המקצועית מטעם איקו""ם לאמנויות יפות יתקיים במוסקווה, אוקטובר 2012","On behalf of the whole Russian museum community, ICOM Russia team and ICOM ICFA let me express our respect and invite you to the ICOM ICFA Annual Conference of 2012 in Moscow, Russia!
 
On September, 30 - October, 05 we are going to have discussion focused on MUSEUM COMPLEXES: principles of planning, structure, functioning dislocation, type of management, and concepts of development, visual identification, marketing of museum services, communication with the audience and between the departments...
 
There is not only great projects of “Big Hermitage” (St. Petersburg), State Pushkin museum of Fine arts District project (Moscow) and Development project of National Center for Contemporary Art with all its branches (Moscow, Kaliningrad, Yekaterinburg etc.) going to be presented, but also Russian regional museum complexes that include the whole towns in their activity. Also Damien Whitmore, one of the world-known leaders of museum brand development and museum communication, is expected.
 
So, welcome ICFA Conference 2012, welcome Moscow and welcome to explore!
 
We are still waiting for your papers! CONFERENCE IS FREE OF REGISTRATION FEES FOR SPEAKERS.
 
All the following details, please find on
http://www.icom.org.ru/get.asp?Id=N383
 
Best regards,
Vladimir Tolstoy
ICOM Russia President
 
--
Executive Directorate ICOM Russia +7 (495) 951 0408 http://www.icom.org.ru/defengl.asp",22/07/2012 - 09:03,25/07/2012 - 09:43
"נפתחה ההרשמה לכינוס ICOFOM הוועדה המקצועית מטעם איקו""ם למוזאולוגיה שיתקיים בטוניס, נובמבר 2012","In reference to the upcoming 34th symposium of ICOM's International Committee for Museology (ICOFOM) scheduled for 1-3 November 2012 in Tunis, Tunisia, on the topic of ""Empowering the Visitor: process, progress and protest"", we are pleased to send to you the conference Registration Forms.  These are attached, each in one of ICOM's three official languages - English, French, and Spanish.  We would appreciate it if you could please submit your Registration Form as soon as possible.  Please note that the Registration Fee is due before 1 October 2012.
We look forward to seeing you in Tunis!!
For the registration form, please press here.
With best wishes,
Lynn Maranda
ICOFOM Secretary (corresponding)
on behalf of the ICOFOM Executive Board",09/08/2012 - 09:19,09/08/2012 - 09:21
"הכינוס השנתי של ICEE הוועדה המקצועית מטעם איקו""ם לתערוכות ולחילופים יתקיים בטורונטו, קנדה, אוקטובר 2012","Save the Dates!
Young professionals, their future in an ever changing museum environment ICEE Annual Meeting October 24-26, 2012 Royal Ontario Museum Toronto, CANADA
 
On behalf of the ICOM/ICEE board, I invite you to join us for our 2012 ICEE - International Committee for Exhibitions and Exchange - Annual Meeting, hosted by the Royal Ontario Museum in Toronto, Canada, from October 24th to 26th, 2012.
 
The ICEE board, in close collaboration with colleagues in Toronto, is planning three days of keynote addresses, panel sessions, study tours and many networking opportunities including our well known Marketplace of ideas and exhibitions around the general theme of  ""Young professionals, their future in an ever changing museum environment.""
 
During this inspiring meeting, we will discuss new challenges in exhibitions development, in a global context with a focus on young professionals and their future. We will learn about Toronto's museums during our exciting behind the scenes tours. Again this year, we will hold our traditional ""Marketplace of exhibitions and ideas"" as one highlight of our meeting.
 
A program of Study Tours will provide valuable ""behind the scenes"" access to exhibitions currently on view in Toronto. Program updates will be posted on the ICEE new website (WWW.ICEE.ICOM.MUSEUM)
 
As the ICEE board works toward the next ICOM Triennial Conference in Rio de Janeiro in August 2013, we encourage each of you to forward this announcement to all colleagues who might be interested in joining us in Toronto this year.
 
See you all in Toronto, and do not miss our welcoming reception at the ROM, the evening of the 23rd of October!
 
Best regards,
 
Dr. Anne-Catherine Hauglustaine-Robert
Chair of ICOM/ICEE
Head of Coordination Jardin des Sciences University of Strasbourg, France hauglustaine@unistra.fr
 
Nicolas Gauvin
Secretary of ICOM/ICEE
Director, Travelling Exhibitions, Planning and Partnerships Canadian Museum of Civilization Corporation
 
And the other board members: Amy Bornkamp (USA), Carina Jaatinen (Finland, Chair of ICOM-Finland), Marlies Kleiterp (The Netherlands), Christoph Lind (Germany), Xiuqin Zhou (USA), Alex Susanna (Italy), Lydia Kitungulu (Kenya) and Gevorg Orbelyan (Armenia).
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
 
Change ICOM-L subscription options, unsubscribe, and search the archives at:  http://home.ease.lsoft.com/archives/icom-l.html",21/08/2012 - 08:54,21/08/2012 - 08:54
"מוזאונים לאומיים באירופה המשתנה - כינוס מטעם מכון מחקר Eunamus יתקיים בבודפשט, דצמבר 2012","National Museums in a Changing Europe 12-14 December 2012 Central European University, Budapest  Conference of the Eunamus research consortium studying`National Museums, Identity Politics, the Uses of the Past, and the European Citizen'.   This conference is an opportunity to bring together researchers studying national museums and professionals responsible for taking these institutions forwards. It offers an opportunity to consider the past and present, but with the aim of debating the future. The conference considers holistically the role of the national museum in the context of change.   The conference also welcomes delegates who do not wish to present a paper. To register your interest, please email registration_eunamus_bp@pasts.ceu.hu  The conference will be shaped around the following questions: •How should the institutional inheritance of national museums (purpose, culture, philosophy, etc.) shape their future role? •How do the historical narratives and material collections of national museums contribute to division and contestation? How do they, or might they, build bridges between nations and communities? •How have national museums been instrumentalised in government policy? How have they become socially active? •How do national museums contribute to the values, perceptions and identities of citizens? •In a changing Europe, how can national museums contribute to greater social cohesion? How can the stories national museums tell and the treasures they display, be mobilised to build connections across Europe?  Central to this conference is a dialogue between museum professionals, professional organisations, policy makers and university researchers. While academic researchers can operate outside of the professional and institutional constraints that shape practice, the role of national museums in building greater European cohesion can only be developed within a framework of energetic, proactive professionalism. National Museums in a Changing Europe provides a forum for debate and dialogue between those who study national museums and those who daily shape these institutions and who are charged with taking these institutions forward.  Eunamus, a European-funded research consortium, brings together participants from across Europe to consider how national museums and their uses of the past, might contribute to European cohesion. In 2010, when Eunamus began its research, the challenges to cohesion seemed to arise from population migration, demographic change and nationalism. Two years later, Europe's democratic and economic institutions, and European cooperation more generally, are under extraordinary pressure.  The Eunamus consortium is led by: Peter Aronsson, Linköping University, Sweden; Alexandra Bounia, University of the Aegean, Greece; Arne Bugge Amundsen, University of Oslo, Norway; Constantin Iordachi, Central European University, Hungary; Simon Knell, University of Leicester, UK; Kristin Kuutma, University of Tartu, Estonia; Ilaria Porciani, University of Bologna, Italy; and Dominique Poulot, University of Paris I Panthéon-Sorbonne, France.   http://www.eunamus.eu/firstpage/finalconference.html",04/09/2012 - 10:38,04/09/2012 - 13:37
"איקו""ם - ידיעון 27, 2012","Please find below the ICOM e-newsletter August 2012:
http://archives.icom.museum/e-newsletter/27_august2012_en.html
In this issue:
Headline ICOMMUNITY: the collaborative platform for ICOM members
Highlight Celebrations of the Centennial Anniversary of the National Museum of China New Mediation Workshop in Art and Cultural Heritage to be held in Ottawa-Gatineau, Canada
Decoding UNESCO expert meeting held on the protection and promotion of museums and collections
Museum News Brazil’s Museu Imperial: banking on technology and tradition
Participate in ICOM Croatia: Collaborative lecturing ICME Annual Meeting
Access the e-newsletter archives at: http://archives.icom.museum/e-newsletter/e-newsletter.html
To unsubscribe, please click here http://archives.icom.museum/e-newsletter/unsubscribe.html
ICOM. UNESCO House. 1, rue Miollis. 75732 Paris Cedex 15. France. Tel. +33 (0)1 47 34 05 00. Fax +33 (0)1 43 06 78 62. E-mail: secretariat@icom.museum © ICOM",04/09/2012 - 15:30,04/09/2012 - 15:30
"""החפץ, ההקשר והנרטיב"" כינוס של DEMHIST הוועדה המקצועית מטעם איקו""ם לבניינים היסטוריים ועוד 3 קבוצות עבודה יקיימו כינוס בלוס אנג'לס, נובמבר 2012","""The Artifact, its context and their narrative""
Los Angeles, Nov. 6-9, 2012
 
DEMHIST, the international ICOM committee for historic house museums, and three ICOM-CC working groups - Sculpture, Polychromy, and Architectural Decoration; Textiles; Wood, Furniture, and Lacquer - are presenting a conference from November 6-9, 2012 in Los Angeles. This four day conference will be co-hosted by the Getty Conservation Institute, the Getty Research Institute, the University of Southern California School of Architecture/Heritage Conservation Programs, and The Gamble House.
 
The theme of the conference will focus on managing the inevitable deterioration of structure and materials in historic house museums, while balancing the need for public access with current standards of practice in conservation. Historic houses remain in constant use throughout their lifespan and their interiors consist of diverse materials often altering dramatically due to change imposed by society, their environment and function. The proper care for historic houses and their interiors draws from many conservation specializations as well as from many other fields.
Therefore it is essential to approach each project in a holistic manner using a multidisciplinary collaborative approach involving all stakeholders.
 
Papers selected for the upcoming symposium focus on the following key
issues:
 
- The House Museum as a Significant Historic Artifact: How to balance public access with current standards of practice in conservation.
 
- The Artifact Within Its Context: The historic house museum as the setting for the presentation of a collection; meeting the conservation needs of individual objects in the context of an integrated collection and its setting.
 
- Conservation and the ""Narrative"" of the Historic House: How the conservation process and its discoveries can play a role in engaging and educating the public, both in the narrative presented on public tours and by demonstration of conservation techniques to the public.
 
You find more information and you can register on the conference website:
 
https://www.uscarchitecture.com/demhist
 
Dr. Peter Keller
Chair
Historic House Museums (DEMHIST)
c/o Dommuseum zu Salzburg
Postfach 62
5010 Salzburg
Austria
http://demhist.icom.museum
peter.keller@museum.kirchen.net",10/09/2012 - 11:26,10/09/2012 - 11:26
"קורס אינטרנטי בנושא הטיפול במזיקים במוזאונים, ספריות וארכיונים","MS210: Integrated Pest Management for Museums, Libraries and Archives
Instructor: Gretchen Anderson
Dates: Oct 1 through Nov 9, 2012
Location: Online at www.museumclasses.org
 
Description:
The only thing worse than mice or cockroaches in your kitchen, is
finding them in your museum collection. Participants in Integrated Pest
Management for Museums, Libraries and Archives learn low-toxicity
methods of controlling infestations. IPM is the standard method for
treating incoming items and monitoring holdings. Integrated Pest
Management for Museums, Libraries and Archives discusses how
infestations occur, helps identify risks, provides feasible mitigation
strategies, discusses the different techniques of treating infested
materials, and helps you complete an IPM plan and monitoring schedule
for your institution. The course covers pest identification, insects,
rodent, birds, bats, other mammals and mold infestations, as well as
other problems raised by participants.
 
Logistics:
Participants in Integrated Pest Management for Museums, Libraries and
Archives work through eight sections at their own pace. Instructor
Gretchen Anderson is available for scheduled email support. Materials
and resources include online literature, slide lectures and dialog
between students and online chats led by the instructor. The course is
limited to 20 participants.
 
Integrated Pest Management for Museums, Libraries and Archives runs six
weeks. To reserve a spot in the course, please pay at
http://www.collectioncare.org/tas/tas.html If you have trouble please
contact Helen Alten at helen@collectioncare.org
 
The Instructor:
Objects conservator Gretchen Anderson learned her craft at the American
Museum of Natural History, the Smithsonian's Conservation Analytical
Lab, the Canadian Conservation Institute, Getty Conservation Lab, the
Los Angeles County Museum of Art, and the Minnesota Historical Society.
She established the conservation department at the Science Museum of
Minnesota in 1989. She is the co-author of A Holistic Approach to Museum
Pest Management, a technical leaflet for the American Association for
State and Local History and established a rigorous IPM program for the
Science Museum. She was a key member in the planning team that designed
and built a new facility for the Science Museum of Minnesota. This
endeavor resulted in not only a state of the art exhibition and storage
facility, but also a major publication about the experience of building
a new museum and creating the correct environments: Moving the Mountain.
In 2009 she accepted the position of conservator and head of the
conservation section at the Carnegie Museum of Natural History in
Pittsburgh. Ms. Anderson is a member of the American Institute for
Conservation and the Society for the Preservation of Natural History
Collections. She lectures and presents workshops on preventive
conservation, IPM, cleaning in museums, and practical methods and
materials for storage of collections.
 
--
Brad Bredehoft for Helen Alten
Northern States Conservation Center
www.collectioncare.org
www.museumclasses.org",19/09/2012 - 09:48,19/09/2012 - 09:48
"איקו""ם - ידיעון 28, 2012","Please find below the ICOM e-newsletter September 2012:
http://archives.icom.museum/e-newsletter/28_september_en.html
In this issue:
Headline Launch of International Museum Day 2012
Highlight IACCCA annual meeting and workshop in Vienna
Decoding ICOM-ASPAC 2012 General Assembly in Wuhan, China
Museum News Royal BC Museum contributes to Antarctic preservation effort
Participate in ICOM conferences in the Caucasus
Publication National museum directories published by National Committees
Access the e-newsletter archives at: http://archives.icom.museum/e-newsletter/e-newsletter.html
To unsubscribe, please click here http://archives.icom.museum/e-newsletter/unsubscribe.html
ICOM. UNESCO House. 1, rue Miollis. 75732 Paris Cedex 15. France. Tel. +33 (0)1 47 34 05 00. Fax +33 (0)1 43 06 78 62. E-mail: secretariat@icom.museum © ICOM",03/10/2012 - 13:49,03/10/2012 - 13:49
